room_id,hotel_name,priority,checkout_hour,assigned_staff,task_status,estimated_finish_hour
6120,PARKROYAL on Kitchener Road,High,8,Grace,Pending,9
6181,PARKROYAL on Kitchener Road,High,8,Henry,Pending,9
6194,PARKROYAL on Kitchener Road,High,8,Ivy,Pending,9
6200,PARKROYAL on Kitchener Road,High,8,Jack,Pending,9
6301,PARKROYAL on Kitchener Road,High,8,Alice,Pending,9
6304,PARKROYAL on Kitchener Road,High,8,Bob,Pending,9
6754,Ramada Singapore At Zhongshan Park,High,8,Charlie,Pending,9
6978,The St. Regis Singapore,High,8,David,Pending,9
1860,PARKROYAL on Kitchener Road,High,9,Emma,Pending,10
3771,InterContinental Singapore,High,9,Frank,Pending,10
4247,InterContinental Singapore,High,9,Grace,Pending,10
4311,InterContinental Singapore,High,9,Henry,Pending,10
5574,PARKROYAL on Kitchener Road,High,9,Ivy,Pending,10
5645,PARKROYAL on Kitchener Road,High,9,Jack,Pending,10
5648,PARKROYAL on Kitchener Road,High,9,Alice,Pending,10
5731,PARKROYAL on Kitchener Road,High,9,Bob,Pending,10
5852,PARKROYAL on Kitchener Road,High,9,Charlie,Pending,10
5970,PARKROYAL on Kitchener Road,High,9,David,Pending,10
6060,PARKROYAL on Kitchener Road,High,9,Emma,Pending,10
6131,PARKROYAL on Kitchener Road,High,9,Frank,Pending,10
6529,Ramada Singapore At Zhongshan Park,High,9,Grace,Pending,10
6578,Ramada Singapore At Zhongshan Park,High,9,Henry,Pending,10
6652,Ramada Singapore At Zhongshan Park,High,9,Ivy,Pending,10
6814,Ramada Singapore At Zhongshan Park,High,9,Jack,Pending,10
2350,The St. Regis Singapore,High,10,Alice,Pending,11
2646,Sunway Resort Hotel Spa,High,10,Bob,Pending,11
2700,Sunway Resort Hotel Spa,High,10,Charlie,Pending,11
2848,Sunway Resort Hotel Spa,High,10,David,Pending,11
3565,InterContinental Singapore,High,10,Emma,Pending,11
4003,InterContinental Singapore,High,10,Frank,Pending,11
5572,PARKROYAL on Kitchener Road,High,10,Grace,Pending,11
5606,PARKROYAL on Kitchener Road,High,10,Henry,Pending,11
5884,PARKROYAL on Kitchener Road,High,10,Ivy,Pending,11
5938,PARKROYAL on Kitchener Road,High,10,Jack,Pending,11
6068,PARKROYAL on Kitchener Road,High,10,Alice,Pending,11
6165,PARKROYAL on Kitchener Road,High,10,Bob,Pending,11
6565,Ramada Singapore At Zhongshan Park,High,10,Charlie,Pending,11
6801,Ramada Singapore At Zhongshan Park,High,10,David,Pending,11
1644,PARKROYAL on Kitchener Road,High,11,Emma,Pending,12
1666,PARKROYAL on Kitchener Road,High,11,Frank,Pending,12
1698,PARKROYAL on Kitchener Road,High,11,Grace,Pending,12
1767,PARKROYAL on Kitchener Road,High,11,Henry,Pending,12
1914,PARKROYAL on Kitchener Road,High,11,Ivy,Pending,12
2801,Sunway Resort Hotel Spa,High,11,Jack,Pending,12
3533,InterContinental Singapore,High,11,Alice,Pending,12
4770,InterContinental Singapore,High,11,Bob,Pending,12
4920,InterContinental Singapore,High,11,Charlie,Pending,12
5552,PARKROYAL on Kitchener Road,High,11,David,Pending,12
5605,PARKROYAL on Kitchener Road,High,11,Emma,Pending,12
5701,PARKROYAL on Kitchener Road,High,11,Frank,Pending,12
5767,PARKROYAL on Kitchener Road,High,11,Grace,Pending,12
5917,PARKROYAL on Kitchener Road,High,11,Henry,Pending,12
5956,PARKROYAL on Kitchener Road,High,11,Ivy,Pending,12
6105,PARKROYAL on Kitchener Road,High,11,Jack,Pending,12
6118,PARKROYAL on Kitchener Road,High,11,Alice,Pending,12
6188,PARKROYAL on Kitchener Road,High,11,Bob,Pending,12
6256,PARKROYAL on Kitchener Road,High,11,Charlie,Pending,12
6407,PARKROYAL on Kitchener Road,High,11,David,Pending,12
6515,Ramada Singapore At Zhongshan Park,High,11,Emma,Pending,12
6763,Ramada Singapore At Zhongshan Park,High,11,Frank,Pending,12
6767,Ramada Singapore At Zhongshan Park,High,11,Grace,Pending,12
1285,InterContinental Singapore,Medium,6,Henry,Pending,7
1695,PARKROYAL on Kitchener Road,Medium,6,Ivy,Pending,7
1969,PARKROYAL on Kitchener Road,Medium,6,Jack,Pending,7
2273,Ramada Singapore At Zhongshan Park,Medium,6,Alice,Pending,7
2651,Sunway Resort Hotel Spa,Medium,6,Bob,Pending,7
2960,InterContinental Singapore,Medium,6,Charlie,Pending,7
3427,InterContinental Singapore,Medium,6,David,Pending,7
3602,InterContinental Singapore,Medium,6,Emma,Pending,7
3608,InterContinental Singapore,Medium,6,Frank,Pending,7
3610,InterContinental Singapore,Medium,6,Grace,Pending,7
4225,InterContinental Singapore,Medium,6,Henry,Pending,7
4244,InterContinental Singapore,Medium,6,Ivy,Pending,7
4405,InterContinental Singapore,Medium,6,Jack,Pending,7
4691,InterContinental Singapore,Medium,6,Alice,Pending,7
4769,InterContinental Singapore,Medium,6,Bob,Pending,7
4844,InterContinental Singapore,Medium,6,Charlie,Pending,7
4938,InterContinental Singapore,Medium,6,David,Pending,7
5305,PARKROYAL on Kitchener Road,Medium,6,Emma,Pending,7
5696,PARKROYAL on Kitchener Road,Medium,6,Frank,Pending,7
5728,PARKROYAL on Kitchener Road,Medium,6,Grace,Pending,7
5843,PARKROYAL on Kitchener Road,Medium,6,Henry,Pending,7
5940,PARKROYAL on Kitchener Road,Medium,6,Ivy,Pending,7
5955,PARKROYAL on Kitchener Road,Medium,6,Jack,Pending,7
6259,PARKROYAL on Kitchener Road,Medium,6,Alice,Pending,7
6382,PARKROYAL on Kitchener Road,Medium,6,Bob,Pending,7
6465,Ramada Singapore At Zhongshan Park,Medium,6,Charlie,Pending,7
6528,Ramada Singapore At Zhongshan Park,Medium,6,David,Pending,7
6532,Ramada Singapore At Zhongshan Park,Medium,6,Emma,Pending,7
6568,Ramada Singapore At Zhongshan Park,Medium,6,Frank,Pending,7
6600,Ramada Singapore At Zhongshan Park,Medium,6,Grace,Pending,7
6762,Ramada Singapore At Zhongshan Park,Medium,6,Henry,Pending,7
1563,PARKROYAL on Kitchener Road,Medium,7,Ivy,Pending,8
1646,PARKROYAL on Kitchener Road,Medium,7,Jack,Pending,8
2066,Ramada Singapore At Zhongshan Park,Medium,7,Alice,Pending,8
2575,The St. Regis Singapore,Medium,7,Bob,Pending,8
2781,Sunway Resort Hotel Spa,Medium,7,Charlie,Pending,8
3459,InterContinental Singapore,Medium,7,David,Pending,8
3554,InterContinental Singapore,Medium,7,Emma,Pending,8
3703,InterContinental Singapore,Medium,7,Frank,Pending,8
3778,InterContinental Singapore,Medium,7,Grace,Pending,8
3782,InterContinental Singapore,Medium,7,Henry,Pending,8
3831,InterContinental Singapore,Medium,7,Ivy,Pending,8
3947,InterContinental Singapore,Medium,7,Jack,Pending,8
4084,InterContinental Singapore,Medium,7,Alice,Pending,8
4124,InterContinental Singapore,Medium,7,Bob,Pending,8
4535,InterContinental Singapore,Medium,7,Charlie,Pending,8
4610,InterContinental Singapore,Medium,7,David,Pending,8
4743,InterContinental Singapore,Medium,7,Emma,Pending,8
4872,InterContinental Singapore,Medium,7,Frank,Pending,8
5135,PARKROYAL on Kitchener Road,Medium,7,Grace,Pending,8
5333,PARKROYAL on Kitchener Road,Medium,7,Henry,Pending,8
5348,PARKROYAL on Kitchener Road,Medium,7,Ivy,Pending,8
5432,PARKROYAL on Kitchener Road,Medium,7,Jack,Pending,8
5509,PARKROYAL on Kitchener Road,Medium,7,Alice,Pending,8
5554,PARKROYAL on Kitchener Road,Medium,7,Bob,Pending,8
5581,PARKROYAL on Kitchener Road,Medium,7,Charlie,Pending,8
5633,PARKROYAL on Kitchener Road,Medium,7,David,Pending,8
5650,PARKROYAL on Kitchener Road,Medium,7,Emma,Pending,8
5792,PARKROYAL on Kitchener Road,Medium,7,Frank,Pending,8
5966,PARKROYAL on Kitchener Road,Medium,7,Grace,Pending,8
6046,PARKROYAL on Kitchener Road,Medium,7,Henry,Pending,8
6153,PARKROYAL on Kitchener Road,Medium,7,Ivy,Pending,8
6224,PARKROYAL on Kitchener Road,Medium,7,Jack,Pending,8
6332,PARKROYAL on Kitchener Road,Medium,7,Alice,Pending,8
6549,Ramada Singapore At Zhongshan Park,Medium,7,Bob,Pending,8
6556,Ramada Singapore At Zhongshan Park,Medium,7,Charlie,Pending,8
6651,Ramada Singapore At Zhongshan Park,Medium,7,David,Pending,8
6691,Ramada Singapore At Zhongshan Park,Medium,7,Emma,Pending,8
6716,Ramada Singapore At Zhongshan Park,Medium,7,Frank,Pending,8
6794,Ramada Singapore At Zhongshan Park,Medium,7,Grace,Pending,8
6884,The St. Regis Singapore,Medium,7,Henry,Pending,8
6916,The St. Regis Singapore,Medium,7,Ivy,Pending,8
6992,The St. Regis Singapore,Medium,7,Jack,Pending,8
1037,InterContinental Singapore,Medium,8,Alice,Pending,9
2182,Ramada Singapore At Zhongshan Park,Medium,8,Bob,Pending,9
3978,InterContinental Singapore,Medium,8,Charlie,Pending,9
4032,InterContinental Singapore,Medium,8,David,Pending,9
4470,InterContinental Singapore,Medium,8,Emma,Pending,9
4558,InterContinental Singapore,Medium,8,Frank,Pending,9
4601,InterContinental Singapore,Medium,8,Grace,Pending,9
5076,Hotel Jen Tanglin Singapore,Medium,8,Henry,Pending,9
5340,PARKROYAL on Kitchener Road,Medium,8,Ivy,Pending,9
5376,PARKROYAL on Kitchener Road,Medium,8,Jack,Pending,9
5713,PARKROYAL on Kitchener Road,Medium,8,Alice,Pending,9
5764,PARKROYAL on Kitchener Road,Medium,8,Bob,Pending,9
5773,PARKROYAL on Kitchener Road,Medium,8,Charlie,Pending,9
5901,PARKROYAL on Kitchener Road,Medium,8,David,Pending,9
5915,PARKROYAL on Kitchener Road,Medium,8,Emma,Pending,9
5977,PARKROYAL on Kitchener Road,Medium,8,Frank,Pending,9
5984,PARKROYAL on Kitchener Road,Medium,8,Grace,Pending,9
5989,PARKROYAL on Kitchener Road,Medium,8,Henry,Pending,9
6067,PARKROYAL on Kitchener Road,Medium,8,Ivy,Pending,9
6174,PARKROYAL on Kitchener Road,Medium,8,Jack,Pending,9
6195,PARKROYAL on Kitchener Road,Medium,8,Alice,Pending,9
6347,PARKROYAL on Kitchener Road,Medium,8,Bob,Pending,9
6489,Ramada Singapore At Zhongshan Park,Medium,8,Charlie,Pending,9
6518,Ramada Singapore At Zhongshan Park,Medium,8,David,Pending,9
6566,Ramada Singapore At Zhongshan Park,Medium,8,Emma,Pending,9
6644,Ramada Singapore At Zhongshan Park,Medium,8,Frank,Pending,9
6687,Ramada Singapore At Zhongshan Park,Medium,8,Grace,Pending,9
6709,Ramada Singapore At Zhongshan Park,Medium,8,Henry,Pending,9
1369,InterContinental Singapore,Medium,9,Ivy,Pending,10
2601,The St. Regis Singapore,Medium,9,Jack,Pending,10
3433,InterContinental Singapore,Medium,9,Alice,Pending,10
3472,InterContinental Singapore,Medium,9,Bob,Pending,10
3526,InterContinental Singapore,Medium,9,Charlie,Pending,10
3674,InterContinental Singapore,Medium,9,David,Pending,10
3715,InterContinental Singapore,Medium,9,Emma,Pending,10
3972,InterContinental Singapore,Medium,9,Frank,Pending,10
4282,InterContinental Singapore,Medium,9,Grace,Pending,10
4404,InterContinental Singapore,Medium,9,Henry,Pending,10
4928,InterContinental Singapore,Medium,9,Ivy,Pending,10
4966,InterContinental Singapore,Medium,9,Jack,Pending,10
5215,PARKROYAL on Kitchener Road,Medium,9,Alice,Pending,10
5598,PARKROYAL on Kitchener Road,Medium,9,Bob,Pending,10
5873,PARKROYAL on Kitchener Road,Medium,9,Charlie,Pending,10
5905,PARKROYAL on Kitchener Road,Medium,9,David,Pending,10
6115,PARKROYAL on Kitchener Road,Medium,9,Emma,Pending,10
6127,PARKROYAL on Kitchener Road,Medium,9,Frank,Pending,10
6183,PARKROYAL on Kitchener Road,Medium,9,Grace,Pending,10
6242,PARKROYAL on Kitchener Road,Medium,9,Henry,Pending,10
6355,PARKROYAL on Kitchener Road,Medium,9,Ivy,Pending,10
6521,Ramada Singapore At Zhongshan Park,Medium,9,Jack,Pending,10
6598,Ramada Singapore At Zhongshan Park,Medium,9,Alice,Pending,10
6602,Ramada Singapore At Zhongshan Park,Medium,9,Bob,Pending,10
6666,Ramada Singapore At Zhongshan Park,Medium,9,Charlie,Pending,10
6989,The St. Regis Singapore,Medium,9,David,Pending,10
3644,InterContinental Singapore,Medium,10,Emma,Pending,11
3665,InterContinental Singapore,Medium,10,Frank,Pending,11
3808,InterContinental Singapore,Medium,10,Grace,Pending,11
3904,InterContinental Singapore,Medium,10,Henry,Pending,11
4070,InterContinental Singapore,Medium,10,Ivy,Pending,11
4465,InterContinental Singapore,Medium,10,Jack,Pending,11
4509,InterContinental Singapore,Medium,10,Alice,Pending,11
4646,InterContinental Singapore,Medium,10,Bob,Pending,11
4815,InterContinental Singapore,Medium,10,Charlie,Pending,11
5127,PARKROYAL on Kitchener Road,Medium,10,David,Pending,11
5260,PARKROYAL on Kitchener Road,Medium,10,Emma,Pending,11
5324,PARKROYAL on Kitchener Road,Medium,10,Frank,Pending,11
5408,PARKROYAL on Kitchener Road,Medium,10,Grace,Pending,11
5483,PARKROYAL on Kitchener Road,Medium,10,Henry,Pending,11
5535,PARKROYAL on Kitchener Road,Medium,10,Ivy,Pending,11
5739,PARKROYAL on Kitchener Road,Medium,10,Jack,Pending,11
5849,PARKROYAL on Kitchener Road,Medium,10,Alice,Pending,11
5946,PARKROYAL on Kitchener Road,Medium,10,Bob,Pending,11
5991,PARKROYAL on Kitchener Road,Medium,10,Charlie,Pending,11
6058,PARKROYAL on Kitchener Road,Medium,10,David,Pending,11
6184,PARKROYAL on Kitchener Road,Medium,10,Emma,Pending,11
6209,PARKROYAL on Kitchener Road,Medium,10,Frank,Pending,11
6241,PARKROYAL on Kitchener Road,Medium,10,Grace,Pending,11
6314,PARKROYAL on Kitchener Road,Medium,10,Henry,Pending,11
6496,Ramada Singapore At Zhongshan Park,Medium,10,Ivy,Pending,11
6500,Ramada Singapore At Zhongshan Park,Medium,10,Jack,Pending,11
6514,Ramada Singapore At Zhongshan Park,Medium,10,Alice,Pending,11
6674,Ramada Singapore At Zhongshan Park,Medium,10,Bob,Pending,11
6712,Ramada Singapore At Zhongshan Park,Medium,10,Charlie,Pending,11
6857,The St. Regis Singapore,Medium,10,David,Pending,11
1490,InterContinental Singapore,Medium,11,Emma,Pending,12
1810,PARKROYAL on Kitchener Road,Medium,11,Frank,Pending,12
1945,PARKROYAL on Kitchener Road,Medium,11,Grace,Pending,12
2634,Sunway Resort Hotel Spa,Medium,11,Henry,Pending,12
2952,InterContinental Singapore,Medium,11,Ivy,Pending,12
3798,InterContinental Singapore,Medium,11,Jack,Pending,12
3803,InterContinental Singapore,Medium,11,Alice,Pending,12
3876,InterContinental Singapore,Medium,11,Bob,Pending,12
3956,InterContinental Singapore,Medium,11,Charlie,Pending,12
4229,InterContinental Singapore,Medium,11,David,Pending,12
4386,InterContinental Singapore,Medium,11,Emma,Pending,12
4538,InterContinental Singapore,Medium,11,Frank,Pending,12
4597,InterContinental Singapore,Medium,11,Grace,Pending,12
4708,InterContinental Singapore,Medium,11,Henry,Pending,12
4868,InterContinental Singapore,Medium,11,Ivy,Pending,12
4893,InterContinental Singapore,Medium,11,Jack,Pending,12
5009,Hotel Jen Tanglin Singapore,Medium,11,Alice,Pending,12
5210,PARKROYAL on Kitchener Road,Medium,11,Bob,Pending,12
5416,PARKROYAL on Kitchener Road,Medium,11,Charlie,Pending,12
5651,PARKROYAL on Kitchener Road,Medium,11,David,Pending,12
5704,PARKROYAL on Kitchener Road,Medium,11,Emma,Pending,12
5738,PARKROYAL on Kitchener Road,Medium,11,Frank,Pending,12
5863,PARKROYAL on Kitchener Road,Medium,11,Grace,Pending,12
5896,PARKROYAL on Kitchener Road,Medium,11,Henry,Pending,12
6122,PARKROYAL on Kitchener Road,Medium,11,Ivy,Pending,12
6143,PARKROYAL on Kitchener Road,Medium,11,Jack,Pending,12
6378,PARKROYAL on Kitchener Road,Medium,11,Alice,Pending,12
6444,Ramada Singapore At Zhongshan Park,Medium,11,Bob,Pending,12
6449,Ramada Singapore At Zhongshan Park,Medium,11,Charlie,Pending,12
6550,Ramada Singapore At Zhongshan Park,Medium,11,David,Pending,12
6711,Ramada Singapore At Zhongshan Park,Medium,11,Emma,Pending,12
6720,Ramada Singapore At Zhongshan Park,Medium,11,Frank,Pending,12
6753,Ramada Singapore At Zhongshan Park,Medium,11,Grace,Pending,12
6772,Ramada Singapore At Zhongshan Park,Medium,11,Henry,Pending,12
1134,InterContinental Singapore,Low,6,Ivy,Pending,7
1291,InterContinental Singapore,Low,6,Jack,Pending,7
1340,InterContinental Singapore,Low,6,Alice,Pending,7
1349,InterContinental Singapore,Low,6,Bob,Pending,7
1388,InterContinental Singapore,Low,6,Charlie,Pending,7
1473,InterContinental Singapore,Low,6,David,Pending,7
1515,InterContinental Singapore,Low,6,Emma,Pending,7
1520,Hotel Jen Tanglin Singapore,Low,6,Frank,Pending,7
1587,PARKROYAL on Kitchener Road,Low,6,Grace,Pending,7
2124,Ramada Singapore At Zhongshan Park,Low,6,Henry,Pending,7
2206,Ramada Singapore At Zhongshan Park,Low,6,Ivy,Pending,7
2226,Ramada Singapore At Zhongshan Park,Low,6,Jack,Pending,7
2370,The St. Regis Singapore,Low,6,Alice,Pending,7
2479,The St. Regis Singapore,Low,6,Bob,Pending,7
2484,The St. Regis Singapore,Low,6,Charlie,Pending,7
2485,The St. Regis Singapore,Low,6,David,Pending,7
2486,The St. Regis Singapore,Low,6,Emma,Pending,7
2510,The St. Regis Singapore,Low,6,Frank,Pending,7
2518,The St. Regis Singapore,Low,6,Grace,Pending,7
2524,The St. Regis Singapore,Low,6,Henry,Pending,7
2619,Sunway Resort Hotel Spa,Low,6,Ivy,Pending,7
2654,Sunway Resort Hotel Spa,Low,6,Jack,Pending,7
2926,InterContinental Singapore,Low,6,Alice,Pending,7
2939,InterContinental Singapore,Low,6,Bob,Pending,7
3111,InterContinental Singapore,Low,6,Charlie,Pending,7
3151,InterContinental Singapore,Low,6,David,Pending,7
3268,InterContinental Singapore,Low,6,Emma,Pending,7
3397,InterContinental Singapore,Low,6,Frank,Pending,7
3424,InterContinental Singapore,Low,6,Grace,Pending,7
3482,InterContinental Singapore,Low,6,Henry,Pending,7
3483,InterContinental Singapore,Low,6,Ivy,Pending,7
3499,InterContinental Singapore,Low,6,Jack,Pending,7
3508,InterContinental Singapore,Low,6,Alice,Pending,7
3693,InterContinental Singapore,Low,6,Bob,Pending,7
3694,InterContinental Singapore,Low,6,Charlie,Pending,7
3695,InterContinental Singapore,Low,6,David,Pending,7
3697,InterContinental Singapore,Low,6,Emma,Pending,7
3714,InterContinental Singapore,Low,6,Frank,Pending,7
3729,InterContinental Singapore,Low,6,Grace,Pending,7
3751,InterContinental Singapore,Low,6,Henry,Pending,7
3752,InterContinental Singapore,Low,6,Ivy,Pending,7
3789,InterContinental Singapore,Low,6,Jack,Pending,7
3846,InterContinental Singapore,Low,6,Alice,Pending,7
3854,InterContinental Singapore,Low,6,Bob,Pending,7
3860,InterContinental Singapore,Low,6,Charlie,Pending,7
3869,InterContinental Singapore,Low,6,David,Pending,7
3910,InterContinental Singapore,Low,6,Emma,Pending,7
3930,InterContinental Singapore,Low,6,Frank,Pending,7
3958,InterContinental Singapore,Low,6,Grace,Pending,7
4038,InterContinental Singapore,Low,6,Henry,Pending,7
4042,InterContinental Singapore,Low,6,Ivy,Pending,7
4074,InterContinental Singapore,Low,6,Jack,Pending,7
4080,InterContinental Singapore,Low,6,Alice,Pending,7
4082,InterContinental Singapore,Low,6,Bob,Pending,7
4083,InterContinental Singapore,Low,6,Charlie,Pending,7
4101,InterContinental Singapore,Low,6,David,Pending,7
4113,InterContinental Singapore,Low,6,Emma,Pending,7
4158,InterContinental Singapore,Low,6,Frank,Pending,7
4190,InterContinental Singapore,Low,6,Grace,Pending,7
4192,InterContinental Singapore,Low,6,Henry,Pending,7
4207,InterContinental Singapore,Low,6,Ivy,Pending,7
4274,InterContinental Singapore,Low,6,Jack,Pending,7
4315,InterContinental Singapore,Low,6,Alice,Pending,7
4352,InterContinental Singapore,Low,6,Bob,Pending,7
4367,InterContinental Singapore,Low,6,Charlie,Pending,7
4391,InterContinental Singapore,Low,6,David,Pending,7
4421,InterContinental Singapore,Low,6,Emma,Pending,7
4448,InterContinental Singapore,Low,6,Frank,Pending,7
4463,InterContinental Singapore,Low,6,Grace,Pending,7
4547,InterContinental Singapore,Low,6,Henry,Pending,7
4554,InterContinental Singapore,Low,6,Ivy,Pending,7
4565,InterContinental Singapore,Low,6,Jack,Pending,7
4566,InterContinental Singapore,Low,6,Alice,Pending,7
4580,InterContinental Singapore,Low,6,Bob,Pending,7
4615,InterContinental Singapore,Low,6,Charlie,Pending,7
4623,InterContinental Singapore,Low,6,David,Pending,7
4643,InterContinental Singapore,Low,6,Emma,Pending,7
4644,InterContinental Singapore,Low,6,Frank,Pending,7
4690,InterContinental Singapore,Low,6,Grace,Pending,7
4704,InterContinental Singapore,Low,6,Henry,Pending,7
4727,InterContinental Singapore,Low,6,Ivy,Pending,7
4774,InterContinental Singapore,Low,6,Jack,Pending,7
4793,InterContinental Singapore,Low,6,Alice,Pending,7
4900,InterContinental Singapore,Low,6,Bob,Pending,7
4908,InterContinental Singapore,Low,6,Charlie,Pending,7
4978,InterContinental Singapore,Low,6,David,Pending,7
4985,Hotel Jen Tanglin Singapore,Low,6,Emma,Pending,7
4992,Hotel Jen Tanglin Singapore,Low,6,Frank,Pending,7
5027,Hotel Jen Tanglin Singapore,Low,6,Grace,Pending,7
5105,PARKROYAL on Kitchener Road,Low,6,Henry,Pending,7
5110,PARKROYAL on Kitchener Road,Low,6,Ivy,Pending,7
5125,PARKROYAL on Kitchener Road,Low,6,Jack,Pending,7
5151,PARKROYAL on Kitchener Road,Low,6,Alice,Pending,7
5157,PARKROYAL on Kitchener Road,Low,6,Bob,Pending,7
5171,PARKROYAL on Kitchener Road,Low,6,Charlie,Pending,7
5172,PARKROYAL on Kitchener Road,Low,6,David,Pending,7
5190,PARKROYAL on Kitchener Road,Low,6,Emma,Pending,7
5254,PARKROYAL on Kitchener Road,Low,6,Frank,Pending,7
5267,PARKROYAL on Kitchener Road,Low,6,Grace,Pending,7
5320,PARKROYAL on Kitchener Road,Low,6,Henry,Pending,7
5330,PARKROYAL on Kitchener Road,Low,6,Ivy,Pending,7
5342,PARKROYAL on Kitchener Road,Low,6,Jack,Pending,7
5350,PARKROYAL on Kitchener Road,Low,6,Alice,Pending,7
5380,PARKROYAL on Kitchener Road,Low,6,Bob,Pending,7
5406,PARKROYAL on Kitchener Road,Low,6,Charlie,Pending,7
5407,PARKROYAL on Kitchener Road,Low,6,David,Pending,7
5463,PARKROYAL on Kitchener Road,Low,6,Emma,Pending,7
5486,PARKROYAL on Kitchener Road,Low,6,Frank,Pending,7
5499,PARKROYAL on Kitchener Road,Low,6,Grace,Pending,7
5510,PARKROYAL on Kitchener Road,Low,6,Henry,Pending,7
5550,PARKROYAL on Kitchener Road,Low,6,Ivy,Pending,7
5569,PARKROYAL on Kitchener Road,Low,6,Jack,Pending,7
5590,PARKROYAL on Kitchener Road,Low,6,Alice,Pending,7
5623,PARKROYAL on Kitchener Road,Low,6,Bob,Pending,7
5685,PARKROYAL on Kitchener Road,Low,6,Charlie,Pending,7
5727,PARKROYAL on Kitchener Road,Low,6,David,Pending,7
5748,PARKROYAL on Kitchener Road,Low,6,Emma,Pending,7
5770,PARKROYAL on Kitchener Road,Low,6,Frank,Pending,7
5774,PARKROYAL on Kitchener Road,Low,6,Grace,Pending,7
5819,PARKROYAL on Kitchener Road,Low,6,Henry,Pending,7
5848,PARKROYAL on Kitchener Road,Low,6,Ivy,Pending,7
5922,PARKROYAL on Kitchener Road,Low,6,Jack,Pending,7
5971,PARKROYAL on Kitchener Road,Low,6,Alice,Pending,7
5976,PARKROYAL on Kitchener Road,Low,6,Bob,Pending,7
6066,PARKROYAL on Kitchener Road,Low,6,Charlie,Pending,7
6227,PARKROYAL on Kitchener Road,Low,6,David,Pending,7
6321,PARKROYAL on Kitchener Road,Low,6,Emma,Pending,7
6386,PARKROYAL on Kitchener Road,Low,6,Frank,Pending,7
6480,Ramada Singapore At Zhongshan Park,Low,6,Grace,Pending,7
6499,Ramada Singapore At Zhongshan Park,Low,6,Henry,Pending,7
6520,Ramada Singapore At Zhongshan Park,Low,6,Ivy,Pending,7
6612,Ramada Singapore At Zhongshan Park,Low,6,Jack,Pending,7
6615,Ramada Singapore At Zhongshan Park,Low,6,Alice,Pending,7
6686,Ramada Singapore At Zhongshan Park,Low,6,Bob,Pending,7
6717,Ramada Singapore At Zhongshan Park,Low,6,Charlie,Pending,7
